Berkeley|Laborer|6
Oakland|Laborer|3
Richmond|Laborer|2
Fairfield|Laborer|2
San Rafael|Laborer|5
Novato|Laborer|3
San Francisco|Laborer|29
South San Francisco|Laborer|2
San Anselmo|Laborer|1
Greenbrae|Laborer|1
Mill Valley|Laborer|2
Martinez|Laborer|6
Petaluma|Laborer|2
San Francisco Bay Area|Laborer|2
Walnut Creek|Laborer|2
Daly City|Laborer|4
Orinda|Laborer|1
Vallejo|Laborer|1
Tiburon|Laborer|1
Sausalito|Laborer|1
Concord|Laborer|7
Millbrae|Laborer|1
Pacifica|Laborer|1
East Bay|Laborer|5
Alameda|Laborer|1
Benicia|Laborer|1
Emeryville|Laborer|2
Brisbane|Laborer|1
Castro Valley|Laborer|1
Bolinas|Laborer|1
Napa Valley|Laborer|1
Oakland|Driver|1115
Richmond|Driver|1140
San Pablo|Driver|11
San Rafael|Driver|27
Albany|Driver|15
East Bay|Driver|7
Pacheco|Driver|1
San Francisco|Driver|2202
Orinda|Driver|6
San Leandro|Driver|1040
Emeryville|Driver|16
South San Francisco|Driver|27
Concord|Driver|70
San Francisco Bay Area|Driver|28
Fairfield|Driver|1
Vallejo|Driver|24
El Sobrante|Driver|7
Pinole|Driver|7
El Cerrito|Driver|9
Hercules|Driver|9
Crockett|Driver|3
Rodeo|Driver|3
Novato|Driver|8
Hayward|Driver|3
Benicia|Driver|12
Greenbrae|Driver|2
Berkeley|Driver|47
Alameda|Driver|21
Canyon|Driver|1
Colma|Driver|1
Point Richmond|Driver|2
Napa|Driver|1
Walnut Creek|Driver|26
Daly City|Driver|8
Lagunitas|Driver|2
Nicasio|Driver|1
San Geronimo|Driver|1
Petaluma|Driver|11
Port Costa|Driver|1
Martinez|Driver|19
Fairfax|Driver|3
San Ramon|Driver|5
Pleasant Hill|Driver|9
Woodacre|Driver|1
Ross|Driver|3
San Anselmo|Driver|1
Larkspur|Driver|3
San Quentin|Driver|2
Castro Valley|Driver|9
Clayton|Driver|1
Brisbane|Driver|8
Sonoma|Driver|4
Piedmont|Driver|3
Pacifica|Driver|2
San Lorenzo|Driver|3
Belvedere Tiburon|Driver|1
